Timestamp,¿Quién decide habitualmente qué se come en tu hogar?,Pensando en la última semana: ¿cómo se decidió qué comer cada día en tu hogar?,"En el último mes, ¿con qué frecuencia te pasó de llegar a la hora de cocinar sin saber qué preparar?",¿Con qué frecuencia sientes que en tu hogar se repiten siempre las mismas comidas?,¿Qué usas hoy para organizar las comidas o las compras de tu hogar?,"Si usas una app específica de comidas o listas, ¿cuál?","En el último mes, ¿usaste ChatGPT u otra IA para pedir ideas de comidas o armar un menú?","¿Alguna vez descargaste una app para planificar comidas, recetas o listas de compras? ¿Qué pasó con ella?",¿Con qué frecuencia se compran alimentos en tu hogar?,¿Dónde se compran los alimentos de tu hogar?,"Antes de ir a comprar, ¿qué haces normalmente?","¿Qué es lo más difícil de resolver las comidas de tu hogar, semana a semana?",¿Quiénes viven en tu hogar?,¿En qué país vives?
7/27/2026 13:01:02,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:01:03,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:01:05,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:01:14,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:01:19,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:01:22,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:01:34,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:01:47,Principalmente yo,Había un plan completo para toda la semana,1 o 2 veces en el mes,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:01:48,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:01:56,"Yo, compartido con otra persona",Se decidió el día anterior,1 o 2 veces en el mes,Rara vez,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Mayorista","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 13:02:00,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Nunca,Nunca,Notas del celular,no,"No, nunca lo usé para eso",Nunca descargué una,Casi todos los días,"Supermercado, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Chile
